Seq   key   Reference   Name                        Simbad_Identifier                  Sci_key  C_key    Loc   type  RA             DEC            vel     vel_bibcode         U_mag   B_mag   V_mag   R_mag   I_mag   J_mag   H_mag   K_mag   Teff   logg   Z     vturb   Li    Be    C    N    O    F    Na   Mg   Al   Si   P    S    K    Ca    Sc    Ti    V     Cr    Mn    Fe    Co    Ni    Cu    Zn   Ga    Ge    As    Se    Rb   Sr    Y     Zr    Nb    Mo    Ru    Rh    Pd    Ag    Cd    Sn   Te    Ba    La    Ce    Pr    Nd    Sm    Eu    Gd    Tb    Dy    Ho    Er    Tm    Yb    Lu    Hf    W     Os    Ir    Pt    Au    Hg   Pb    Bi    Th    U     CaII   TiII   VII   CrII   MnII   FeII  
1     1     AOK09       S10-14                      [AAS2009]_S_10-14                  *        *        DW    RG    10_13_34.7     -2_7_57.9      233.86  2009A&A...502..569A *       *       17.64   *       16.56   *       *       15.08   4620   1.2    -2.7  2.2     *     *     *    *    *    *    2.79 4.77 *    *    *    *    *    3.62  *     2.43  *     2.37  *     4.79  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -1.84 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2     1     AOK09       S11-37                      [AAS2009]_S_11-37                  *        *        DW    RG    10_13_45.48    -1_56_16.3     221.79  2009A&A...502..569A *       *       17.96   *       16.9    *       *       15.34   4560   1.3    -2.9  2.2     *     *     *    *    *    *    3.32 4.67 *    *    *    *    *    3.53  0.41  1.8   *     2.21  *     4.61  *     3.58  *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -1.79 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
3     1     AOK09       S12-28                      [AAS2009]_S_12-28                  *        *        DW    RG    10_11_17.15    -2_0_24        201.96  2009A&A...502..569A *       *       17.52   *       16.44   *       *       14.91   4570   1.4    -2.8  2.7     *     *     *    *    *    *    3.22 4.9  *    *    *    *    *    3.7   0.3   2.1   *     2.43  *     4.7   *     3.57  *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -0.9  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
4     1     AOK09       S14-98                      [AAS2009]_S_14-98                  *        *        DW    RG    10_13_24.48    -2_12_3.5      220.7   2009A&A...502..569A *       *       18.06   *       17.06   *       *       15.61   4730   1.1    -2.7  2.8     *     *     *    *    *    *    3.45 4.78 *    *    *    *    *    3.94  0.24  2.54  *     2.4   *     4.78  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -1.76 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
5     1     AOK09       S15-19                      [AAS2009]_S_15-19                  *        *        DW    RG    10_11_26.96    -2_5_41.6      226.05  2009A&A...502..569A *       *       17.54   *       16.53   *       *       14.98   4620   1.2    -3.1  2.6     *     *     *    *    *    *    3.25 4.86 *    *    *    *    *    3.62  0.24  2.03  *     1.98  *     4.35  *     3.41  *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -0.44 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
6     1     COH09       Draco3053                   [BFO2002]_Dra_50027                *        *        DW    RG    17_19_35.45    57_58_46.6     -282.6  2002MNRAS.330..792K *       18.286  17.303  16.681  15.978  15.274  14.538  14.468  4350   1      -1.73 2.1     *     *     6.06 *    7.42 *    3.96 5.81 *    5.81 *    *    *    4.55  1.11  3.29  1.96  3.66  3.23  5.72  3.12  4.24  *     2.46 *     *     *     *     *    0.64  -0.17 *     *     *     *     *     *     *     *     *    *     0.24  *     -0.47 *     -0.28 *     -0.83 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
7     1     SHE01       Draco11                     [BS61]_11                          R1       *        DW    RG    17_20_5.67     57_57_52.7     -284.28 2002MNRAS.330..792K *       18.82   17.469  16.877  16.23   15.506  14.815  14.682  4475   0.8    -1.72 1.8     *     *     *    *    7.11 *    4.61 5.93 4.75 5.83 *    *    *    4.8   *     3.36  *     3.94  3.17  5.8   3.01  4.53  *     2.67 *     *     *     *     *    *     -0.16 *     *     *     *     *     *     *     *     *    *     0.52  *     -0.3  *     0.01  -0.36 -0.66 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
8     1     FUL04       Draco119                    [BS61]_119                         *        *        DW    RG    17_20_16.11    57_52_56       *       *                   *       18.62   17.421  16.859  16.224  15.561  15.122  14.854  4440   0.88   -2.95 2.4     *     *     5.18 6.6  6.51 *    3.74 5.17 3.28 4.8  *    *    *    3.34  0.43  2.23  1.19  2.3   1.75  4.57  2.1   3.15  *     1.17 *     *     *     *     *    -2.6  -1.3  -0.2  *     *     *     *     *     *     *     *    *     -3.3  *     *     *     -0.7  *     -2    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
9     2     SHE01       Draco119                    [BS61]_119                         *        *        DW    RG    17_20_16.11    57_52_56       *       *                   *       18.62   17.421  16.859  16.224  15.561  15.122  14.854  4370   0.15   -2.97 2.8     *     *     *    *    *    *    3.27 4.81 *    *    *    *    *    3.5   *     1.85  *     2.16  2.42  4.55  1.95  2.86  *     1.63 *     *     *     *     *    *     -0.73 *     *     *     *     *     *     *     *     *    *     -0.84 *     -1.42 *     -1.47 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
10    1     SHE01       Draco24                     [BS61]_24                          *        *        DW    RG    17_19_58.89    57_57_20.9     *       *                   *       18.37   17.07   16.5    15.77   14.876  14.163  14.155  4290   0.8    -2.36 2       *     *     *    *    6.85 *    3.64 5.48 *    *    *    *    *    4.07  *     2.59  *     3.35  3.03  5.16  2.49  4.2   *     2.34 *     *     *     *     *    *     -0.12 *     *     *     *     *     *     *     *     *    *     -1.42 *     -0.81 *     -0.86 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
