|        Star | [Fe/H] | e_fe | NFe | fe2_h | e_fe2 | NFe2 | [Na/H] | e_na | Nna | [Mg/H] | e_mg | NMg | [Si/H] | e_si | NSi | [Ca/H] | e_ca | NCa | [Sc/H] | e_sc | NSc | [TiI/H] | e_ti1 | NTi1 | [Ti/H] | e_ti | NTi | [Cr/H] | e_cr | NCr | [Ni/H] | e_ni | NNi | [Y/H] |  e_y | NY | [Ba/H] | e_ba | NBa | [La/H] | e_la | NLa | [Nd/H] | e_nd | NNd | [Eu/H] | e_eu | NEu | [Na/Fe] | [Mg/Fe] | [Si/Fe] | [Ca/Fe] | [Sc/Fe] | [Ti/Fe] | [Cr/Fe] | [Ni/Fe] | [Y/Fe] | [Ba/Fe] | [La/Fe] | [Nd/Fe] | [Eu/Fe] |
| Fnx-mem0514 |  -0.70 | 0.04 |  42 |       |       |      |  -1.38 | 0.16 |   2 |  -0.76 | 0.23 |   1 |  -0.44 | 0.23 |   1 |  -1.05 | 0.08 |   8 |        |      |     |   -1.04 |  0.10 |    7 |  -0.39 | 0.23 |   1 |  -1.16 | 0.23 |   1 |  -0.90 | 0.08 |   9 |       |      |    |  -0.31 | 0.16 |   2 |  -0.43 | 0.16 |   2 |  -0.21 | 0.16 |   2 |        |      |     |   -0.68 |   -0.06 |    0.26 |   -0.35 |         |    0.31 |   -0.46 |   -0.20 |        |    0.39 |    0.27 |    0.49 |         |
| Fnx-mem0522 |  -0.88 | 0.05 |  39 | -0.02 |  0.18 |    3 |  -1.53 | 0.22 |   2 |  -0.86 | 0.31 |   1 |  -0.41 | 0.31 |   1 |  -0.79 | 0.15 |   4 |        |      |     |   -1.24 |  0.12 |    7 |  -0.90 | 0.31 |   1 |  -0.68 | 0.31 |   1 |  -0.98 | 0.10 |  10 |       |      |    |  -0.33 | 0.31 |   1 |  -0.67 | 0.31 |   1 |  -0.40 | 0.31 |   1 |  -0.50 | 0.31 |   1 |   -0.65 |    0.02 |    0.47 |    0.09 |         |   -0.02 |    0.20 |   -0.10 |        |    0.55 |    0.21 |    0.48 |    0.38 |
| Fnx-mem0532 |  -0.48 | 0.03 |  29 | -0.02 |  0.09 |    3 |  -1.49 | 0.16 |   1 |  -0.89 | 0.16 |   1 |  -0.70 | 0.16 |   1 |  -0.81 | 0.08 |   4 |        |      |     |   -1.18 |  0.06 |    8 |  -0.46 | 0.16 |   3 |  -0.98 | 0.16 |   1 |  -0.79 | 0.05 |   9 |       |      |    |  -0.17 | 0.11 |   2 |  -0.39 | 0.11 |   2 |  -0.49 | 0.16 |   1 |  -0.15 | 0.16 |   1 |   -1.01 |   -0.41 |   -0.22 |   -0.33 |         |    0.02 |   -0.50 |   -0.31 |        |    0.31 |    0.09 |   -0.01 |    0.33 |
| Fnx-mem0539 |  -0.70 | 0.03 |  30 | -0.41 |  0.11 |    4 |  -1.56 | 0.14 |   1 |  -0.72 | 0.14 |   1 |        |      |     |  -0.91 | 0.07 |   7 |        |      |     |   -1.13 |  0.07 |    8 |  -0.78 | 0.12 |   3 |  -0.88 | 0.14 |   1 |  -1.08 | 0.10 |   8 |       |      |    |  -0.36 | 0.10 |   2 |        |      |     |  -0.44 | 0.14 |   1 |  -0.24 | 0.14 |   1 |   -0.86 |   -0.02 |         |   -0.21 |         |   -0.08 |   -0.18 |   -0.38 |        |    0.34 |         |    0.26 |    0.46 |
| Fnx-mem0543 |  -1.02 | 0.02 |  39 | -0.30 |  0.20 |    4 |        |      |     |  -0.79 | 0.10 |   1 |  -0.99 | 0.10 |   1 |  -1.22 | 0.08 |   7 |  -1.24 | 0.10 |   1 |   -1.41 |  0.06 |    7 |  -0.84 | 0.22 |   2 |        |      |     |  -1.16 | 0.08 |  12 |       |      |    |  -0.65 | 0.10 |   1 |  -0.85 | 0.13 |   2 |        |      |     |  -0.65 | 0.10 |   1 |         |    0.23 |    0.03 |   -0.20 |   -0.22 |    0.18 |         |   -0.14 |        |    0.37 |    0.17 |         |    0.37 |
| Fnx-mem0556 |  -0.64 | 0.03 |  42 | -0.26 |  0.20 |    3 |        |      |     |  -0.77 | 0.22 |   1 |  -0.71 | 0.16 |   2 |  -1.17 | 0.09 |   6 |        |      |     |   -1.09 |  0.09 |    6 |  -0.54 | 0.16 |   2 |  -0.87 | 0.22 |   1 |  -0.88 | 0.12 |  10 | -0.76 | 0.22 |  1 |   0.03 | 0.22 |   1 |  -0.39 | 0.22 |   1 |   0.49 | 0.16 |   2 |        |      |     |         |   -0.13 |   -0.07 |   -0.53 |         |    0.10 |   -0.23 |   -0.24 |  -0.12 |    0.67 |    0.25 |    1.13 |         |
| Fnx-mem0572 |  -0.88 | 0.02 |  44 | -0.24 |  0.25 |    3 |  -1.69 | 0.16 |   1 |  -0.89 | 0.16 |   1 |  -0.44 | 0.16 |   1 |  -1.04 | 0.09 |   9 |  -0.80 | 0.16 |   1 |   -1.24 |  0.06 |    7 |  -0.93 | 0.22 |   2 |  -0.91 | 0.16 |   1 |  -1.03 | 0.05 |  10 |       |      |    |  -0.51 | 0.11 |   2 |  -0.71 | 0.27 |   2 |  -0.60 | 0.16 |   1 |  -0.50 | 0.16 |   1 |   -0.81 |   -0.01 |    0.44 |   -0.16 |    0.08 |   -0.05 |   -0.03 |   -0.15 |        |    0.37 |    0.17 |    0.28 |    0.38 |
| Fnx-mem0574 |  -0.80 | 0.02 |  40 | -0.42 |  0.07 |    5 |  -1.63 | 0.15 |   1 |  -1.12 | 0.15 |   1 |        |      |     |  -1.11 | 0.06 |   7 |        |      |     |   -1.15 |  0.05 |    8 |  -1.15 | 0.48 |   2 |  -1.29 | 0.15 |   1 |  -1.17 | 0.06 |   9 |       |      |    |  -0.61 | 0.13 |   2 |  -0.88 | 0.15 |   1 |  -0.45 | 0.11 |   2 |  -0.66 | 0.15 |   1 |   -0.83 |   -0.32 |         |   -0.31 |         |   -0.35 |   -0.49 |   -0.37 |        |    0.19 |   -0.08 |    0.35 |    0.14 |
| Fnx-mem0584 |  -2.17 | 0.04 |  15 |       |       |      |        |      |     |  -2.05 | 0.16 |   1 |        |      |     |  -1.75 | 0.12 |   4 |        |      |     |         |       |      |  -1.19 | 0.11 |   2 |  -1.86 | 0.16 |   1 |  -2.03 | 0.09 |   3 |       |      |    |        |      |     |        |      |     |  -0.38 | 0.16 |   1 |        |      |     |         |    0.12 |         |    0.42 |         |    0.98 |    0.31 |    0.14 |        |         |         |    1.79 |         |
| Fnx-mem0595 |  -0.88 | 0.03 |  30 | -0.14 |  0.22 |    2 |        |      |     |  -1.34 | 0.19 |   1 |  -0.65 | 0.19 |   1 |  -1.21 | 0.14 |   5 |        |      |     |   -1.67 |  0.08 |    5 |  -0.87 | 0.13 |   2 |  -1.77 | 0.19 |   1 |  -1.38 | 0.10 |   4 | -0.71 | 0.19 |  1 |        |      |     |        |      |     |  -0.19 | 0.19 |   1 |        |      |     |         |   -0.46 |    0.23 |   -0.33 |         |    0.01 |   -0.89 |   -0.50 |   0.17 |         |         |    0.69 |         |
