#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-10-25T15:21:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ562cf2e93c78	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/AJ/147/136/table12
#-nav=cat:J/AJ/147/136&tab:{J/AJ/147/136/table12}&key:source=J/AJ/147/136/table12&HTTPPRM:&&-ref=VIZ562cf2e93c78&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=Ion&-ignore=A=*&A=A&-out=Nl&-out=l_log(e)&-out=log(e)&-out=[X/Fe]&-out=s_[X/Fe]&-out=e_[X/Fe]&-out=e2_[X/Fe]&-out=e3_[X/Fe]&-out=Name&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/147/136/table12
#-source=J/AJ/147/136/table12
#-order=I
#-out=Ion
#-out=Nl
#-out=l_log(e)
#-out=log(e)
#-out=[X/Fe]
#-out=s_[X/Fe]
#-out=e_[X/Fe]
#-out=e2_[X/Fe]
#-out=e3_[X/Fe]
#-out=Name
#

#RESOURCE=yCat_51470136
#Name: J/AJ/147/136
#Title: Stars of very low metal abundance. VI. Abundances (Roederer+, 2014)
#Table	J_AJ_147_136_table12:
#Name: J/AJ/147/136/table12
#Title: Mean abundances
#Column	Ion	(A6)	Species identifier	[ucd=phys.atmol.ionStage]
#Column	Nl	(I3)	Number of lines used	[ucd=meta.number]
#Column	l_log(e)	(A1)	Limit flag on log(e)	[ucd=meta.code.error;phys.abund;arith.zp]
#Column	log(e)	(F5.2)	? Log mean abundance (log{epsilon})	[ucd=phys.abund;arith.zp]
#Column	[X/Fe]	(F5.2)	? Abundance relative to FeI and FeII	[ucd=phys.abund]
#Column	s_[X/Fe]	(F5.2)	? Statistical uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e_[X/Fe]	(F5.2)	? Total uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e2_[X/Fe]	(F5.2)	? Neutrals uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e3_[X/Fe]	(F5.2)	? Ions uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	Name	(A12)	Star identifier	[ucd=meta.id;meta.main]
Ion|Nl|l_log(e)|log(e)|[X/Fe]|s_[X/Fe]|e_[X/Fe]|e2_[X/Fe]|e3_[X/Fe]|Name
 | | |[-]|[-]|[-]|[-]|[-]|[-]|
------|---|-|-----|-----|-----|-----|-----|-----|------------
Fe I  | 96| | 4.28|-3.22| 0.06| 0.15| 0.00| 0.00|CS 22166-016
Fe II | 11| | 4.41|-3.09| 0.07| 0.15| 0.00| 0.00|CS 22166-016
Li I  |  1|<| 0.52|     |     |     |     |     |CS 22166-016
C (CH)|  1| | 5.35| 0.01| 0.15| 0.25| 0.19| 0.19|CS 22166-016
N (NH)|  1| | 5.34| 0.60| 0.30| 0.36| 0.32| 0.32|CS 22166-016
Mg I  |  5| | 5.07| 0.69| 0.05| 0.15| 0.08| 0.18|CS 22166-016
Al I  |  1| | 2.56|-0.67| 0.09| 0.29| 0.24| 0.30|CS 22166-016
Ca I  | 11| | 3.73| 0.62| 0.11| 0.17| 0.12| 0.20|CS 22166-016
Sc II |  6| | 0.01|-0.05| 0.06| 0.15| 0.17| 0.10|CS 22166-016
Ti I  | 15| | 2.01| 0.29| 0.07| 0.15| 0.09| 0.18|CS 22166-016
Ti II | 22| | 2.08| 0.22| 0.06| 0.15| 0.17| 0.09|CS 22166-016
V I   |  1| | 0.68|-0.03| 0.14| 0.19| 0.15| 0.22|CS 22166-016
V II  |  2| | 0.99| 0.15| 0.20| 0.24| 0.26| 0.21|CS 22166-016
Cr I  |  6| | 2.27|-0.15| 0.06| 0.14| 0.08| 0.18|CS 22166-016
Cr II |  2| | 2.63| 0.08| 0.11| 0.18| 0.20| 0.13|CS 22166-016
Mn I  |  4| | 1.78|-0.42| 0.08| 0.16| 0.10| 0.20|CS 22166-016
Mn II |  4| | 1.74|-0.60| 0.15| 0.21| 0.23| 0.17|CS 22166-016
Co I  |  5| | 1.77| 0.00| 0.14| 0.20| 0.15| 0.23|CS 22166-016
Ni I  |  6| | 3.07| 0.07| 0.11| 0.21| 0.16| 0.23|CS 22166-016
Sr II |  2| |-0.50|-0.28| 0.04| 0.25| 0.25| 0.25|CS 22166-016
Y II  |  1| |-1.41|-0.53| 0.10| 0.17| 0.20| 0.12|CS 22166-016
Zr II |  3| |-0.57|-0.06| 0.12| 0.18| 0.21| 0.14|CS 22166-016
Nb II |  1|<| 0.12| 1.75|     |     |     |     |CS 22166-016
Mo I  |  1|<|-0.41| 0.93|     |     |     |     |CS 22166-016
Tc I  |  1|<|-0.11|     |     |     |     |     |CS 22166-016
Sn I  |  1|<| 0.95| 2.10|     |     |     |     |CS 22166-016
Ba II |  3| |-1.35|-0.44| 0.05| 0.15| 0.17| 0.09|CS 22166-016
La II |  1| |-2.07|-0.08| 0.18| 0.22| 0.24| 0.19|CS 22166-016
Ce II |  5|<|-1.62|-0.11|     |     |     |     |CS 22166-016
Pr II |  1| |-1.84| 0.53| 0.17| 0.22| 0.24| 0.18|CS 22166-016
