Table 1
Model Atmosphere Parameters and [Fe/H] for the 38 Program Stars

Star	RA2000^a	DEC2000^a	T_eff	log g	xi_t	[M/H]_model	[Fe/H]_derived	C-rich^b	
			(K)	(cgs)	(km s^-1)				
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	
52972-1213-507	09 18 49.9	+37 44 26.8	6463	4.34	1.2	-3.0	-2.98	1	
53327-2044-515^c	01 40 36.2	+23 44 58.1	5703	4.68	0.8	-4.0	-4.00	1	
53327-2044-515^d	01 40 36.2	+23 44 58.1	5703	3.36	1.5	-4.1	-4.09	1	
53436-1996-093	11 28 13.6	+38 41 48.9	6449	4.38	1.3	-3.5	-3.53	0	
54142-2667-094	08 51 36.7	+10 18 03.2	6456	3.87	1.4	-3.0	-2.96	0	
BS 16545-089	11 24 27.5	+36 50 28.8	6486	3.82	1.4	-3.4	-3.44	0	
CS 30336-049	20 45 23.5	-28 42 35.9	4725	1.19	2.1	-4.1	-4.10	0	
HE 0049-3948	00 52 13.4	-39 32 36.9	6466	3.78	0.8	-3.7	-3.68	0	
HE 0057-5959	00 59 54.0	-59 43 29.9	5257	2.65	1.5	-4.1	-4.08	1	
HE 0102-1213	01 05 28.0	-11 57 31.1	6100	3.65	1.5	-3.3	-3.28	0	
HE 0146-1548	01 48 34.7	-15 33 24.4	4636	0.99	2.1	-3.5	-3.46	1	
HE 0207-1423	02 10 00.7	-14 09 11.1	5023	2.07	1.3	-3.0	-2.95	1	
HE 0228-4047^c	02 30 33.7	-40 33 54.8	6515	4.35	1.6	-3.8	-3.75	0	
HE 0228-4047^d	02 30 33.7	-40 33 54.8	6515	3.80	1.7	-3.8	-3.75	0	
HE 0231-6025	02 32 30.6	-60 12 11.2	6437	4.36	1.8	-3.1	-3.10	0	
HE 0253-1331	02 56 06.7	-13 19 27.0	6474	4.34	1.5	-3.0	-3.01	0	
HE 0314-1739	03 17 01.8	-17 28 54.9	6570	4.25	1.1	-2.9	-2.86	0	
HE 0355-3728^c	03 56 36.5	-44 34 03.4	6418	4.39	1.4	-3.4	-3.41	0	
HE 0355-3728^d	03 56 36.5	-44 34 03.4	6418	3.84	1.5	-3.4	-3.41	0	
HE 0945-1435^c	09 47 50.7	-14 49 06.9	6344	4.43	1.2	-3.8	-3.77	0	
HE 0945-1435^d	09 47 50.7	-14 49 06.9	6344	3.71	1.4	-3.8	-3.78	0	
HE 1055+0104^c	10 58 04.4	+00 48 36.0	6287	4.43	1.3	-2.9	-2.87	0	
HE 1055+0104^d	10 58 04.4	+00 48 36.0	6287	3.79	1.5	-2.9	-2.89	0	
HE 1116-0054^c	11 18 47.8	-01 11 19.4	6454	4.37	1.6	-3.5	-3.49	0	
HE 1116-0054^d	11 18 47.8	-01 11 19.4	6454	3.80	1.6	-3.5	-3.48	0	
HE 1142-1422	11 44 59.2	-14 38 49.6	6238	2.80	3.4	-2.8	-2.84	0	
HE 1201-1512^c	12 03 37.0	-15 29 33.0	5725	4.67	0.9	-3.9	-3.86	1	
HE 1201-1512^d	12 03 37.0	-15 29 33.0	5725	3.39	1.5	-3.9	-3.92	1	
HE 1204-0744	12 06 46.2	-08 00 44.1	6500	4.30	1.8	-2.7	-2.71	0	
HE 1207-3108	12 09 54.0	-31 25 10.6	5294	2.85	0.9	-2.7	-2.70	0	
HE 1320-2952	13 22 54.9	-30 08 05.3	5106	2.26	1.5	-3.7	-3.69	0	
HE 1346-0427^c	13 49 25.1	-04 42 14.8	6255	4.47	1.2	-3.6	-3.57	0	
HE 1346-0427^d	13 49 25.1	-04 42 14.8	6255	3.69	1.4	-3.6	-3.58	0	
HE 1402-0523^c	14 04 38.0	-05 38 13.5	6418	4.38	1.0	-3.2	-3.17	0	
HE 1402-0523^d	14 04 38.0	-05 38 13.5	6418	3.82	1.2	-3.2	-3.19	0	
HE 1506-0113	15 09 14.3	-01 24 56.6	5016	2.01	1.6	-3.5	-3.54	1	
HE 2020-5228	20 24 17.1	-52 19 02.3	6305	3.79	1.4	-2.9	-2.93	0	
HE 2032-5633	20 36 24.9	-56 23 05.8	6457	3.78	1.8	-3.6	-3.63	0	
HE 2047-5612	20 51 22.1	-56 00 52.9	6128	3.68	0.9	-3.1	-3.14	0	
HE 2135-1924	21 38 04.7	-19 11 04.4	6449	4.37	1.2	-3.3	-3.31	0	
HE 2136-6030	21 40 39.5	-60 16 26.4	6409	3.85	2.0	-2.9	-2.88	0	
HE 2139-5432	21 42 42.4	-54 18 42.9	5416	3.04	0.8	-4.0	-4.02	1	
HE 2141-0726	21 44 06.6	-07 12 48.9	6551	4.26	1.5	-2.7	-2.72	0	
HE 2142-5656	21 46 20.4	-56 42 19.1	4939	1.85	2.1	-2.9	-2.87	1	
HE 2202-4831	22 06 05.8	-48 16 53.0	5331	2.95	1.2	-2.8	-2.78	1	
HE 2246-2410	22 48 59.6	-23 54 39.0	6431	4.36	1.5	-3.0	-2.96	0	
HE 2247-7400	22 51 19.4	-73 44 23.6	4829	1.56	2.0	-2.9	-2.87	1	

Notes.
a Coordinates are from the 2MASS database (Skrutskie et al. 2006).
b 1 = CEMP object, adopting the Aoki et al. (2007) definition and 0 = C-normal (see Section 7.1 for details).
c For this set of results, a dwarf gravity is assumed (see Section 2.1 for details).
d For this set of results, a subgiant gravity is assumed (see Section 2.1 for details).
