Title: The Most Metal-Poor Stars. II. Chemical Abundances of 190 Metal-Poor 
       Stars Including 10 New Stars with [Fe/H] {<=} -3.5  
Authors: Yong D., Norris J.E., Bessell M.S., Christlieb N., Asplund M., 
         Beers T.C., Barklem P.S., Frebel A., Ryan A.G. 
Table: Model Atmosphere Parameters and [Fe/H] for the Literature Sample
================================================================================
Byte-by-byte Description of file: apj451254t6_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1- 16 A16    ---     Star    Star identifier
  18- 19 I2     h       RAh     Hour of Right Ascension (J2000) (1)
  21- 22 I2     min     RAm     Minute of Right Ascension (J2000) (1)
  24- 27 F4.1   s       RAs     Second of Right Ascension (J2000) (1)
      29 A1     ---     DE-     Sign of the Declination (J2000)(1)
  30- 31 I2     deg     DEd     Degree of Declination (J2000) (1)
  33- 34 I2     arcmin  DEm     Arcminute of Declination (J2000) (1)
  36- 39 F4.1   arcsec  DEs     Arcsecond of Declination (J2000) (1)
  41- 44 I4     K       Teff    Effective temperature
  46- 49 F4.2   [cm/s2] log(g)  Log of the surface gravity
  51- 53 F3.1   km/s    xi      Turbulent velocity
  55- 58 F4.1   [-]     M/H     Log model M/H abundance
  60- 64 F5.2   [-]     Fe/H    Log derived F/H abundance
      66 I1     ---     C-rich  Carbon rich source code (2)
  68- 76 A9     ---     Source  Reference source codes (3)
--------------------------------------------------------------------------------
Note (1): From the 2MASS database (Skrutskie et al. 2006).
Note (2): 
    1 = CEMP object, adopting the Aoki et al. (2007) definition.
    0 = C-normal (see Section 7.1 for details).
Note (3):
    1 = Aoki et al. (2002); 
    2 = Aoki et al. (2006);
    3 = Aoki et al. (2007);
    4 = Aoki et al. (2008);
    5 = Bonifacio et al. (2007, 2009); 
    6 = Carretta et al. (2002); Cohen et al. (2002); 
    7 = Cayrel et al. (2004); 
    8 = Christlieb et al. (2004); 
    9 = Cohen et al. (2004); 
   10 = Cohen et al. (2006);
   11 = Cohen et al. (2008); 
   12 = Frebel et al. (2007); 
   13 = Honda et al. (2004); 
   14 = Lai et al. (2008); 
   15 = Norris et al. (2001); 
   16 = Norris et al. (2007);
--------------------------------------------------------------------------------
CS 22957-022     00 01 45.5 -05 49 46.6 5146 2.40 1.5 -2.9 -2.92 0 14        
CS 29503-010     00 04 55.4 -24 24 19.3 6570 4.25 1.3 -1.0 -1.00 1 3         
CS 31085-024     00 08 27.9 +10 54 19.8 5778 4.64 0.3 -2.8 -2.80 0 14        
BS 17570-063     00 20 36.2 +23 47 37.7 6233 4.46 0.8 -3.0 -2.95 0 5         
HE 0024-2523     00 27 27.7 -25 06 28.2 6635 4.11 1.2 -2.8 -2.82 0 6         
CS 29527-015     00 29 10.7 -19 10 07.2 6577 3.89 1.9 -3.3 -3.32 1 5         
CS 30339-069     00 30 16.0 -35 56 51.2 6326 3.79 1.4 -3.1 -3.05 0 5         
CS 31062-050     00 30 31.1 -12 05 10.9 5607 3.49 0.3 -2.3 -2.28 1 1         
HE 0028-2152     00 31 07.7 -21 36 07.3 6184 3.75 1.5 -2.8 -2.74 0 9         
HD 2796          00 31 16.9 -16 47 40.9 4923 1.84 1.6 -2.3 -2.31 0 7         
CS 31062-041     00 35 03.0 -15 54 29.3 4990 2.00 2.0 -2.6 -2.65 0 3         
SDSS 0036-10     00 36 02.2 -10 43 36.3 6479 4.31 1.2 -2.6 -2.60 1 4         
CS 29497-034     00 41 39.8 -26 18 54.4 4983 1.96 2.0 -3.0 -3.00 1 3         
CS 31062-012     00 44 03.6 -13 55 25.9 6190 4.47 1.2 -2.7 -2.67 1 1,  4     
HD 4306          00 45 27.2 -09 32 39.9 4854 1.61 1.6 -3.1 -3.04 0 13        
CD -38 deg 245   00 46 36.2 -37 39 33.5 4857 1.54 2.2 -4.2 -4.15 0 7         
HE 0054-2123     00 56 53.2 -21 07 29.6 6424 4.35 1.6 -2.6 -2.59 0 9         
CS 22953-003     01 02 15.9 -61 43 45.8 5002 2.01 1.6 -3.0 -2.93 0 7         
HD 6268          01 03 18.2 -27 52 49.9 4696 1.23 2.1 -2.8 -2.74 0 13        
HE 0102-0633     01 05 25.7 -06 17 35.4 6371 3.83 1.5 -2.9 -2.90 0 9         
HE 0105-2202     01 07 31.2 -21 46 06.5 6267 4.44 1.4 -2.8 -2.75 0 9         
