 Tables of Bolometric Corrections Derived from the 2008 MARCS model atmospheres
 31 Teffs        12 log gs       11 [Fe/H]s       5 BC values   E(B-V) = 0.000
 2600. 2700. 2800. 2900. 3000. 3100. 3200. 3300. 3400. 3500. 3600. 3700. 3800.
 3900. 4000. 4250. 4500. 4750. 5000. 5250. 5500. 5750. 6000. 6250. 6500. 6750.
 7000. 7250. 7500. 7750. 8000.
 0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5
  19  20  21  22  24  30  31  31  31  31  31  19
 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u      sdss    
-11.0831-10.7740-10.8259-10.4862-10.4222 -9.9811 -9.2499 -8.7365 -8.3277 -7.9114
 -7.4998 -7.0985 -6.7129 -6.3406 -5.9761 -5.1094 -4.0939 -3.1658 -2.6175
-10.6590-10.0402 -9.6145 -9.3510 -9.1916 -9.0060 -8.7232 -8.3372 -7.9052 -7.4832
 -7.0553 -6.6346 -6.2317 -5.8473 -5.4740 -4.5472 -3.6449 -2.9299 -2.4436 -2.1127
-10.1419 -9.4938 -9.0085 -8.6582 -8.3977 -8.2113 -8.0551 -7.8438 -7.5434 -7.1692
 -6.7437 -6.2952 -5.8628 -5.4565 -5.0741 -4.1853 -3.3682 -2.7118 -2.2666 -1.9713
 -1.7698
 -9.7872 -9.1349 -8.6138 -8.2185 -7.9095 -7.6399 -7.3971 -7.1970 -7.0043 -6.7614
 -6.4349 -6.0242 -5.5754 -5.1463 -4.7537 -3.8964 -3.1529 -2.5562 -2.1277 -1.8567
 -1.6765 -1.5536
 -9.5502 -8.8959 -8.3520 -7.9185 -7.5771 -7.2852 -7.0018 -6.7176 -6.4600 -6.2246
 -5.9883 -5.6989 -5.3371 -4.9296 -4.5307 -3.6928 -3.0038 -2.4403 -2.0269 -1.7668
 -1.5988 -1.4870 -1.4115 -1.3585
 -9.4109 -8.7548 -8.1918 -7.7232 -7.3455 -7.0334 -6.7471 -6.4528 -6.1455 -5.8418
 -5.5658 -5.3087 -5.0358 -4.7251 -4.3847 -3.5730 -2.9184 -2.3774 -1.9666 -1.7009
 -1.5350 -1.4281 -1.3577 -1.3115 -1.2817 -1.2623 -1.2488 -1.2372 -1.2246 -1.2088
 -9.3580 -8.7013 -8.1212 -7.6226 -7.2025 -6.8582 -6.5603 -6.2760 -5.9769 -5.6582
 -5.3404 -5.0447 -4.7734 -4.5095 -4.2336 -3.5154 -2.8850 -2.3610 -1.9467 -1.6625
 -1.4852 -1.3758 -1.3064 -1.2623 -1.2356 -1.2201 -1.2117 -1.2076 -1.2053 -1.2023
 -1.1954
 -9.3802 -8.7239 -8.1333 -7.6119 -7.1536 -6.7621 -6.4327 -6.1431 -5.8607 -5.5618
 -5.2457 -4.9311 -4.6358 -4.3652 -4.1099 -3.4772 -2.8815 -2.3768 -1.9596 -1.6536
 -1.4541 -1.3318 -1.2575 -1.2122 -1.1863 -1.1733 -1.1683 -1.1685 -1.1716 -1.1761
 -1.1806
 -9.4662 -8.8112 -8.2159 -7.6764 -7.1904 -6.7585 -6.3824 -6.0590 -5.7709 -5.4903
 -5.1973 -4.8914 -4.5889 -4.3043 -4.0414 -3.4449 -2.8860 -2.3962 -1.9879 -1.6663
 -1.4427 -1.2993 -1.2126 -1.1619 -1.1340 -1.1211 -1.1187 -1.1227 -1.1293 -1.1376
 -1.1474
 -9.6049 -8.9519 -8.3548 -7.8086 -7.3089 -6.8516 -6.4357 -6.0669 -5.7425 -5.4521
 -5.1742 -4.8910 -4.5996 -4.3177 -4.0498 -3.4398 -2.9062 -2.4291 -2.0260 -1.6986
 -1.4550 -1.2878 -1.1809 -1.1172 -1.0822 -1.0658 -1.0621 -1.0669 -1.0769 -1.0894
 -1.1023
 -9.7821 -9.1377 -8.5424 -7.9919 -7.4824 -7.0105 -6.5730 -6.1692 -5.8035 -5.4751
 -5.1803 -4.9035 -4.6288 -4.3517 -4.0784 -3.4607 -2.9333 -2.4657 -2.0643 -1.7352
 -1.4798 -1.2940 -1.1660 -1.0839 -1.0358 -1.0114 -1.0033 -1.0060 -1.0159 -1.0304
 -1.0470
