NGC,Ref,Star,Source,Age,AgeErr,[Fe/H],e_fe,[Mg/Fe],e_mg,[C/Fe],e_c,[N/Fe],e_n,[Ca/Fe],e_ca,[O/Fe],e_o,[Na/Fe],e_na,[Si/Fe],e_si,[Cr/Fe],e_cr,[Ti/Fe],e_ti,Comments
104,AB05,M08,RGB,,,-0.66,1.0,0.22,,,,,,0.02,0.11,0.36,,0.09,0.05,0.28,0.1,,,0.24,0.12,-
104,AB05,M11,RGB,,,,,0.22,,,,,,-0.04,0.1,0.22,,0.28,0.01,0.2,0.04,,,0.24,0.11,-
104,AB05,M12,RGB,,,,,0.24,0.02,,,,,-0.01,0.1,0.5,,0.01,0.04,0.22,0.11,,,0.27,0.11,-
104,AB05,M25,RGB,,,,,0.27,0.05,,,,,-0.05,0.1,0.35,,-0.07,0.03,0.23,0.08,,,0.1,0.14,-
104,AB05,M21,HB,,,,,,,,,,,0.09,0.16,0.31,,-0.15,,0.27,0.04,,,0.19,0.09,-
104,AZ88,-,IL,,,-0.79,1.0,,,,,,,,,,,,,,,,,,,-
104,BS09,-,CMD,12.0,,,,,,,,,,,,,,,,,,,,,,-
104,Br04,90,MS,,,,,,,0.04,,0.14,,,,,,,,,,,,,,-
104,Br04,94,MS,,,,,,,-0.31,,1.33,,,,,,,,,,,,,,-
104,Br04,341,MS,,,,,,,-0.07,,1.01,,,,,,,,,,,,,,-
104,Br04,596,MS,,,,,,,-0.01,,0.3,,,,,,,,,,,,,,-
104,Br04,806,MS,,,,,,,-0.17,,1.12,,,,,,,,,,,,,,-
104,Br04,977,MS,,,,,,,-0.12,,0.98,,,,,,,,,,,,,,-
104,Br04,1173,MS,,,,,,,0.07,,0.55,,,,,,,,,,,,,,-
104,Br04,1329,MS,,,,,,,-0.06,,0.54,,,,,,,,,,,,,,-
104,Br04,1336,MS,,,,,,,-0.31,,1.53,,,,,,,,,,,,,,-
104,Br04,1462,MS,,,,,,,-0.44,,1.48,,,,,,,,,,,,,,-
104,Br04,1587,MS,,,,,,,0.06,,0.45,,,,,,,,,,,,,,-
104,Br04,1992,MS,,,,,,,0.02,,0.54,,,,,,,,,,,,,,-
104,Br04,2060,MS,,,,,,,-0.16,,1.14,,,,,,,,,,,,,,-
104,Br04,2186,MS,,,,,,,-0.41,,1.42,,,,,,,,,,,,,,-
104,Br04,2284,MS,,,,,,,0.07,,1.47,,,,,,,,,,,,,,-
104,Br04,2379,MS,,,,,,,-0.05,,1.03,,,,,,,,,,,,,,-
104,Br04,2556,MS,,,,,,,-0.01,,0.3,,,,,,,,,,,,,,-
104,Br04,2629,MS,,,,,,,0.07,,0.43,,,,,,,,,,,,,,-
104,Br04,2738,MS,,,,,,,-0.01,,1.54,,,,,,,,,,,,,,-
104,Br04,2821,MS,,,,,,,-0.37,,1.46,,,,,,,,,,,,,,-
104,Br04,2947,MS,,,,,,,0.05,,0.35,,,,,,,,,,,,,,-
104,Br04,3060,MS,,,,,,,0.1,,0.67,,,,,,,,,,,,,,-
104,Br04,3137,MS,,,,,,,-0.11,,0.34,,,,,,,,,,,,,,-
104,Br04,3343,MS,,,,,,,-0.45,,1.49,,,,,,,,,,,,,,-
104,Br04,3371,MS,,,,,,,0.22,,1.01,,,,,,,,,,,,,,-
104,Br04,3394,MS,,,,,,,-0.2,,1.19,,,,,,,,,,,,,,-
104,Br04,3456,MS,,,,,,,-0.02,,0.07,,,,,,,,,,,,,,-
104,Br04,3521,MS,,,,,,,0.02,,0.79,,,,,,,,,,,,,,-
104,Br04,3522,MS,,,,,,,0.08,,1.11,,,,,,,,,,,,,,-
104,Br04,3532,MS,,,,,,,0.3,,0.65,,,,,,,,,,,,,,-
104,Br04,3631,MS,,,,,,,-0.27,,1.18,,,,,,,,,,,,,,-
104,Br04,3701,MS,,,,,,,-0.13,,1.11,,,,,,,,,,,,,,-
104,Br04,3769,MS,,,,,,,-0.26,,1.3,,,,,,,,,,,,,,-
104,Br04,3797,MS,,,,,,,0.2,,0.5,,,,,,,,,,,,,,-
104,Br04,3823,MS,,,,,,,0.34,,0.41,,,,,,,,,,,,,,-
104,Br04,3853,MS,,,,,,,-0.14,,1.12,,,,,,,,,,,,,,-
104,Br04,3872,MS,,,,,,,0.12,,0.34,,,,,,,,,,,,,,-
104,Br04,3929,MS,,,,,,,0.05,,0.35,,,,,,,,,,,,,,-
104,Br04,3942,MS,,,,,,,-0.02,,0.22,,,,,,,,,,,,,,-
104,Br04,4014,MS,,,,,,,0.09,,0.49,,,,,,,,,,,,,,-
104,Br04,4115,MS,,,,,,,0.09,,0.57,,,,,,,,,,,,,,-
