# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Jul  9 20:54:27 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
9.8116e-05 -2.19174 9.00000 0.1000000015 1.1711064577    0.100 -2.790  3.5571  5.409    0 11.746 15.973 13.693 12.129 11.474 11.175 11.076
9.8116e-05 -2.19174 9.00000 0.1006477326 1.1764944792    0.101 -2.780  3.5581  5.405    0 11.720 15.925 13.653 12.096 11.449 11.152 11.054
9.8116e-05 -2.19174 9.00000 0.1032739505 1.1978870630    0.103 -2.740  3.5623  5.392    0 11.619 15.727 13.493 11.967 11.351 11.061 10.963
9.8116e-05 -2.19174 9.00000 0.1067620367 1.2252311707    0.106 -2.687  3.5678  5.375    0 11.487 15.463 13.284 11.802 11.222 10.940 10.844
9.8116e-05 -2.19174 9.00000 0.1098214313 1.2482755184    0.109 -2.642  3.5725  5.360    0 11.375 15.241 13.109 11.665 11.112 10.837 10.742
9.8116e-05 -2.19174 9.00000 0.1238498837 1.3441720009    0.123 -2.468  3.5890  5.305    1 10.939 14.416 12.463 11.161 10.680 10.429 10.341
9.8116e-05 -2.19174 9.00000 0.1294642836 1.3786746264    0.129 -2.403  3.5951  5.284    1 10.778 14.121 12.232 10.981 10.519 10.277 10.192
9.8116e-05 -2.19174 9.00000 0.1491071582 1.4855960608    0.149 -2.249  3.6064  5.237    1 10.392 13.495 11.721 10.560 10.131 9.906 9.827
9.8116e-05 -2.19174 9.00000 0.1687500030 1.5756140947    0.168 -2.132  3.6138  5.203    0 10.100 13.055 11.353 10.248 9.838 9.623 9.549
9.8116e-05 -2.19174 9.00000 0.2080357224 1.7204496861    0.207 -1.943  3.6251  5.150    1 9.628 12.369 10.770 9.744 9.362 9.164 9.096
9.8116e-05 -2.19174 9.00000 0.2571428716 1.8581268787    0.257 -1.760  3.6354  5.101    1 9.170 11.726 10.217 9.258 8.901 8.717 8.654
9.8116e-05 -2.19174 9.00000 0.3062500358 1.9652637243    0.306 -1.609  3.6437  5.059    1 8.793 11.208 9.769 8.860 8.521 8.349 8.291
9.8116e-05 -2.19174 9.00000 0.3553571701 2.0521113873    0.355 -1.479  3.6511  5.024    1 8.467 10.759 9.383 8.516 8.193 8.031 7.977
9.8116e-05 -2.19174 9.00000 0.3708106577 2.0762646198    0.371 -1.438  3.6536  5.011    1 8.365 10.617 9.261 8.407 8.090 7.931 7.879
9.8116e-05 -2.19174 9.00000 0.4044643044 2.1246092319    0.404 -1.352  3.6586  4.983    0 8.150 10.322 9.009 8.182 7.874 7.723 7.673
9.8116e-05 -2.19174 9.00000 0.4535714388 2.1864814758    0.453 -1.220  3.6701  4.947    1 7.820 9.813 8.597 7.829 7.545 7.409 7.365
9.8116e-05 -2.19174 9.00000 0.5026785731 2.2401986122    0.503 -1.076  3.6830  4.899    1 7.460 9.264 8.154 7.448 7.189 7.069 7.032
9.8116e-05 -2.19174 9.00000 0.5517857671 2.2851314545    0.551 -0.919  3.6983  4.843    1 7.067 8.664 7.673 7.036 6.807 6.706 6.677
9.8116e-05 -2.19174 9.00000 0.6008928418 2.3217256069    0.601 -0.757  3.7175  4.796    1 6.663 8.031 7.177 6.620 6.426 6.347 6.328
9.8116e-05 -2.19174 9.00000 0.6499999762 2.3520355225    0.650 -0.599  3.7383  4.755    1 6.267 7.430 6.699 6.222 6.063 6.008 5.998
9.8116e-05 -2.19174 9.00000 0.6999999881 2.3779268265    0.700 -0.445  3.7607  4.723    1 5.882 6.868 6.243 5.850 5.730 5.699 5.699
9.8116e-05 -2.19174 9.00000 0.7306236625 2.3917880058    0.731 -0.354  3.7737  4.703    1 5.656 6.563 5.986 5.638 5.538 5.520 5.524
9.8116e-05 -2.19174 9.00000 0.7500000000 2.3998889923    0.750 -0.299  3.7817  4.691    1 5.518 6.383 5.831 5.510 5.422 5.411 5.418
9.8116e-05 -2.19174 9.00000 0.7614440918 2.4044516087    0.761 -0.267  3.7857  4.682    1 5.439 6.283 5.743 5.436 5.355 5.348 5.356
9.8116e-05 -2.19174 9.00000 0.8000000119 2.4187245369    0.800 -0.164  3.7989  4.652    1 5.179 5.965 5.456 5.194 5.134 5.140 5.153
9.8116e-05 -2.19174 9.00000 0.8500000238 2.4350347519    0.850 -0.035  3.8154  4.616    1 4.858 5.587 5.101 4.893 4.858 4.880 4.899
9.8116e-05 -2.19174 9.00000 0.8653043509 2.4395959377    0.865  0.003  3.8204  4.606    1 4.763 5.478 4.996 4.802 4.775 4.803 4.822
9.8116e-05 -2.19174 9.00000 0.8999999762 2.4492788315    0.899  0.087  3.8314  4.583    1 4.553 5.240 4.763 4.602 4.592 4.630 4.653
