   Z El                  A                    N                 logN
---- -- ------------------ -------------------- --------------------
 1.0  H 1.0000194204722588        25900503000.0   10.413308198367089
 2.0 He 3.9995898097593416         2511030000.0    9.399851901385414
 3.0 Li  6.924460431654676                 55.6   1.7450747915820575
 4.0 Be                9.0                0.612 -0.21324857785443882
 5.0  B 10.803191489361701                 18.8   1.2741578492636798
 6.0  C 12.011112811026578            7189900.0    6.856722850083828
 7.0  N 14.003656393048153            2127780.0    6.327926722436341
 8.0  O 16.004378105659132           15737400.0    7.196932983491698
 9.0  F               19.0                804.0    2.905256048748451
10.0 Ne 20.138907703662756            3292330.0    6.517503359345893
11.0 Na               23.0              57700.0    4.761175813155732
12.0 Mg 24.320662768031188            1026000.0    6.011147360775797
13.0 Al               27.0              84600.0   4.9273703630390235
14.0 Si  28.10863258977693             999700.0    5.999869692108268
15.0  P               31.0               8300.0   3.9190780923760737
16.0  S   32.0926867478459             421290.0    5.624581150566767
17.0 Cl 35.483558994197296               5170.0   3.7134905430939424
18.0 Ar  36.30939798537564              92722.0   4.9671827907251265
19.0  K 39.136206437882414               3759.0   3.5750723257138124
20.0 Ca 40.115728773115926              60348.0    4.780662881668552
21.0 Sc               45.0                 34.4   1.5365584425715302
22.0 Ti 47.918218623481785               2470.0    3.392696953259666
23.0  V  50.99755586592179                286.4    2.456973013635818
24.0 Cr  52.05488641561214              13118.0    4.117867626566016
25.0 Mn               55.0               9220.0   3.9647309210536292
26.0 Fe  55.90988101274779             847990.0    5.928390730829324
27.0 Co               59.0               2350.0   3.3710678622717363
28.0 Ni  58.76021021326869              49093.0    4.691019571998755
29.0 Cu  63.61737523105361                541.0   2.7331972651065692
30.0 Zn  65.46836419753086               1296.0   3.1126050015345745
31.0 Ga  69.79781420765026                 36.6   1.5634810853944108
32.0 Ge  72.66899563318778                114.5   2.0588054866759067
33.0 As               75.0                  6.1    0.785329835010767
34.0 Se  79.04223473621813    67.47999999999999   1.8291750739170876
35.0 Br   79.9859943977591                10.71   1.0297894708318556
36.0 Kr  83.88093106535362                55.85   1.7470231774516278
37.0 Rb  85.58320652925715    7.229000000000001   0.8590782247469694
38.0 Sr  87.71071889797676   23.229999999999997   1.3660492098002355
39.0  Y               89.0                 4.63   0.6655809910179531
40.0 Zr  91.31830410984323               10.779   1.0325784719243118
41.0 Nb               93.0                 0.78 -0.10790539730951958
42.0 Mo  96.05453118870146                2.549   0.4063698354692675
44.0 Ru 101.16058394160584   1.7810000000000001  0.25066391946324357
45.0 Rh              103.0                 0.37   -0.431798275933005
46.0 Pd 106.51024016502137               1.3574   0.1327078448554479
47.0 Ag 107.96326530612245                 0.49  -0.3098039199714863
48.0 Cd 112.50635324015245   1.5740000000000003  0.19700472802304583
49.0 In 114.91011235955055  0.17800000000000002   -0.749579997691106
50.0 Sn 118.80832177531208                3.605   0.5569052690554478
51.0 Sb 121.85623003194888                0.313  -0.5044556624535516
52.0 Te 127.67938605840972                4.691   0.6712654329471583
53.0  I              127.0                  1.1  0.04139268515822508
54.0 Xe 131.27157778999452                5.457    0.736953953783146
55.0 Cs              133.0                0.371 -0.43062609038495414
56.0 Ba 137.42048758666965                4.471   0.6504046698680318
57.0 La              139.0                0.457 -0.34008379993014975
58.0 Ce  140.2103477523325   1.1789999999999998  0.07151380509508908
59.0 Pr              141.0                0.172  -0.7644715530924511
60.0 Nd 144.33644859813083   0.8560000000000001 -0.06752623532284673
62.0 Sm 150.42696629213486  0.26699999999999996  -0.5734887386354248
63.0 Eu 152.04365482233504               0.0985  -1.0065637695023884
64.0 Gd 157.32907170650364  0.35979999999999995  -0.4439388409904675
65.0 Tb              159.0               0.0634  -1.1979107421182673
66.0 Dy 162.57210109018834  0.40359999999999996  -0.3940488424351271
67.0 Ho              165.0                0.091  -1.0409586076789064
68.0 Er 167.32520944402137  0.26259999999999994  -0.5807052782465395
69.0 Tm              169.0               0.0406   -1.391473966422806
70.0 Yb 173.11666016387045  0.25630000000000003   -0.591251393815756
71.0 Lu 175.02887139107614 0.038099999999999995  -1.4190750243243808
72.0 Hf 178.54043645699616               0.1558  -0.8074325466634543
73.0 Ta  180.9998762058031            0.0210026  -1.6777269388014147
74.0  W 183.89059080962798               0.1371  -0.8629625452104873
75.0 Re 186.28743545611016               0.0581  -1.2358238676096693
76.0 Os  190.2889643965135   0.6769000000000001 -0.16947548590274145
77.0 Ir 192.25484351713857                0.671 -0.17327747983100789
78.0 Pt 195.11301208601475               1.2742  0.10523760074602263
79.0 Au              197.0                0.195  -0.7099653886374819
80.0 Hg  200.6222707423581  0.45799999999999996 -0.33913452199613087
81.0 Tl 204.40983606557376                0.183  -0.7375489102695706
82.0 Pb  207.3430127041742                3.306   0.5193028492354287
83.0 Bi              209.0               0.1382  -0.8594919569618205
90.0 Th 232.00000000000003                0.044  -1.3565473235138126
92.0  U 237.26884026337274 0.023800489999999997    -1.62341410167855
