### NOTE: APJ has kept only MW stuff here and gotten rid of many things
### NOTE: APJ has updated [Fe/H] with Kirby et al. 2013 numbers.
### NOTE: APJ has updated Ret II/Tuc II m-M and Vmag with Bechtol et al. 2015 numbers.
#This file contains an updated list of all observational parameters
#originally presented in McConnachie (2012, AJ, 144, 4).  
#
#** Please refer to the main paper for more details on each parameter **
#
#** Please see  supplementary file "Update.log" for a record of recent changes and the date of the last update **
#** Please see supplementary file "References.dat" for a numbered list of all references (final column of this file) **
#** Please let me know via email if you spot any errors or omissions in this file **
#
#** Systems with an asterix (*) preceding their name are objects whose nature (globular cluster, dwarf galaxy, tidal remnant, asterism, etc) is ambiguous
#
#** Systems where the parameter value is listed as "nines" indicate that no value is known **
#** Systems where the parameter has a value but the errors are listed as "nines" indicate that the parameter value is highly uncertain **
#** (Note that the information for the non-dwarf galaxies - the Galaxy, M31, M33, NGC55, NGC300 - and the Magellanic Clouds is incomplete and not updated regularly) **
#
#Galaxy Name
#Right Ascension (hours minutes seconds) 
#Declination (degrees arcminutes arcseconds)
#Foreground reddening, E(B-V), measured directly from the Schlegel et al 1998 maps (they do not include the recalibration by Schlafly & Finbiener 2011)
#Distance Modulus, (m-M)o err+ err-  
#Heliocentric radial velocity, vh(km/s) err+ err- 
#Apparent V magnitude in Vega mags, Vmag err+ err- 
#Position Angle of major axis in degrees measured east from north, PA err+ err- 
#Projected ellipticity, e=1-b/a err+ err- 
#Central V surface brightness, muVo(mag/sq.arcsec) err+ err-
#Half-light radius measured on major axis, rh(arcmins) err+ err-
#Stellar radial velocity dispersion, sigma_s(km/s) err+ err-
#Stellar peak/max rotation velocity, vrot_s(km/s) err+ err-
#Mass of HI (calculated for the adopted distance modulus), M_HI (10^6M_sun)
#HI radial velocity dispersion, sigma_g(km/s) err+ err-
#HI peak/max rotation velocity, vrot_g(km/s) err+ err-
#Stellar mean metallicity in dex, [Fe/H] err+ err-
#Flag, F, for technique used to measure metallicity: 1=High res. spectroscopy; 2=Spectral synthesis; 3=CaT calibration; 4=CMD modelling; 5=Isochrones; 6=color of red giant branch
#References, numbers refer to list given in supplementary file "References.dat"                                                                                                                                                             
#GalaxyName         RA         Dec       EB-V  (m-M)o          vh(km/s)         Vmag         PA              e=1-b/a        muVo         rh(arcmins)        sigma_s(km/s)  vrot_s(km/s)   MHI  sigma_g(km/s)  vrot_g(km/s)    [Fe/H]          F References
#1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
#The Galaxy         17 45 40.0 -29  0 28 9.999 99.99 9.99 9.99  999.9 99.9 99.9 99.9 9.9 9.9 999.9 99.9 99.9 9.99 9.99 9.99 99.9 9.9 9.9  99.99  9.99  9.99 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 999.9 99.9 99.9  9.99 9.99 9.99 9          
*Canis Major       07 12 35.0 -27 40  0 0.264 14.29 0.30 0.30   87.0  4.0  4.0 -0.1 0.8 0.8 123.0 99.9 99.9 9.99 9.99 9.99 24.0 0.6 0.6  99.99  9.99  9.99 20.0  3.0  3.0 99.9 99.9 99.9 99.9 99.9 99.9 99.9 999.9 99.9 99.9 -0.50 0.20 0.20 4 (1)(2)(95)(176)
Sagittarius dSph   18 55 19.5 -30 32 43 0.153 17.10 0.15 0.15  140.0  2.0  2.0  3.6 0.3 0.3 102.0  2.0  2.0 0.64 0.02 0.02 25.2 0.3 0.3 342.00 12.00 12.00 11.4  0.7  0.7 00.0 00.0 00.0 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -0.40 0.20 0.20 1 (3)(4)(96)(97)(128)(129)(130)(177)
Tucana III         23 56 36.0 -59 36 00 9.999 17.01 0.16 0.16  999.9 99.9 99.9 14.6 0.4 0.4 999.9 99.9 99.9 9.99 9.99 9.99 99.9 9.9 9.9   6.00  0.80  0.60 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 999.9 99.9 99.9 -2.30 9.99 9.99 5 (232)    
*Draco II          15 52 47.6 +64 33 55 0.016 16.90 0.30 0.30  999.9 99.9 99.9 14.0 0.8 0.8  70.0 28.0 28.0 0.24 0.27 0.24 99.9 9.9 9.9   2.70  1.00  0.80 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 999.9 99.9 99.9 -2.20 9.99 9.99 5 (225)         
Segue (I)          10 07 04.0  16  4 55 0.031 16.80 0.20 0.20  208.5  0.9  0.9 15.3 0.8 0.8  85.0  8.0  8.0 0.48 0.13 0.13 27.6 1.0 1.0   4.40  1.20  0.60  3.9  0.8  0.8 00.0 00.0 00.0 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -2.72 0.40 0.40 2 (5)(6)(98)(130)(178)
Reticulum II       03 35 42.1 -54  2 57 9.999 17.50 0.20 0.20   62.8  0.5  0.5 13.9 0.1 0.1  71.0  1.0  1.0 0.59 0.02 0.03 99.9 9.9 9.9   3.64  0.21  0.12  3.3  0.7  0.7 99.9 99.9 99.9 99.9 99.9 99.9 99.9 999.9 99.9 99.9 -2.65 0.07 0.07 3 (226)(227)(Simon15)
*Cetus II          01 17 52.8 -17 25 12 9.999 17.38 0.19 0.19  999.9 99.9 99.9 17.4 0.7 0.7 999.9 99.9 99.9 9.99 9.99 9.99 99.9 9.9 9.9   1.90  1.00  0.50 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 999.9 99.9 99.9 -2.00 9.99 9.99 5 (232)    
Triangulum II      02 13 17.4 +36 10 42 0.081 17.40 0.10 0.10  999.9 99.9 99.9 15.6 0.5 0.5  56.0 16.0 24.0 0.21 0.17 0.21 99.9 9.9 9.9   3.90  1.10  0.90 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 99.9 999.9 99.9 99.9 -2.24 0.53 0.53 5 (221)(Kirby17)
Ursa Major II      08 51 30.0  63  7 48 0.094 17.50 0.30 0.30 -116.5  1.9  1.9 13.3 0.5 0.5  98.0  4.0  4.0 0.63 0.05 0.05 27.9 0.6 0.6  16.00  1.00  1.00  6.7  1.4  1.4 00.0 00.0 00.0 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -2.18 0.05 0.05 2 (7)(8)(98)(130)(179)(180)
Bootes II          13 58 00.0  12 51  0 0.031 18.10 0.06 0.06 -117.0  5.2  5.2 15.4 0.9 0.9 145.0 55.0 55.0 0.21 0.21 0.21 28.1 1.6 1.6   4.20  1.40  1.40  4.5  1.3  1.1 99.9 99.9 99.9 00.0 00.0 00.0 00.0  00.0 00.0 00.0 -2.72 0.15 0.15 3 (9)(10)(98)(130)(KR14/Geha)
