^80^Kr  c   7.9         13.56    4.06  17.6       12.77   0.52  13.3
^82^Kr     23.8         36.93   15.15  52.1       25.64   1.79  27.4
^83^Kr      9.0         12.28    4.85  17.1        8.92   0.62   9.5
^84^Kr     11.7         12.18    5.35  17.5       10.95   0.77  11.7
^86^Kr  c  16.2         21.49   33.96  55.4       11.65   3.58  15.2
Kr      b  13.4         16.66   11.31  28.0   5.0 12.55   1.35  13.9     2.9
^85^Rb     18.3         13.66    8.51  22.2       13.68   1.62  15.3
^87^Rb  c  29.3         27.33   49.50  76.8       17.94   6.99  24.9
Rb      b  21.5    1.5  17.65   20.47  38.1   2.6 14.92   3.19  18.1     1.6
^86^Sr  c  59.2         43.17    8.42  51.6       59.29   1.85  61.1
^87^Sr     54.7         48.12    5.15  53.3       57.06   1.19  58.2
^88^Sr  c  +6.0 d       64.26    9.60  73.9       69.83   1.31  71.1
Sr      b  97.3    6.8  60.70    9.13  69.8   5.7 67.52   1.35  68.9     5.9
^89^Y   c  +3.0 c       60.89    7.43  68.3       70.64   1.29  71.9
Y       b  +3.0 d 10.3  60.89    7.43  68.3   4.2 70.64   1.29  71.9     8.0
^90^Zr  c  84.8         46.83    6.14  53.0       59.59   0.73  60.3
^91^Zr     +5.5 d       61.49   17.62  79.1       69.52   1.64  71.2
^92^Zr     +0.5 d       59.90   15.05  75.0       66.69   1.51  68.2
^94^Zr    +25.5 d       70.20    8.51  78.7       82.70   0.89  83.6
^96^Zr  c  51.3         40.89   39.90  80.8       35.67   3.05  38.7
Zr      b  96.0    9.6  54.61   10.31  64.9   4.2 65.27   1.06  66.3     7.4
^93^Nb     85.6         54.65   11.49  66.1       54.93   1.09  56.0
Nb         85.6    8.6  54.65   11.49  66.1   1.3 54.93   1.09  56.0     6.3
^94^Mo  c   0.9          0.59    0.00   0.6        0.95   0.00   1.0
^95^Mo     69.6         34.36    4.16  38.5       45.00   0.45  45.4
^96^Mo    +19.9 d       69.60    7.72  77.3       77.43   0.79  78.2
^97^Mo     63.7         39.60    5.74  45.3       42.77   0.51  43.3
^98^Mo     82.2         52.28    6.24  58.5       56.96   0.52  57.5
^100^Mo     4.5          1.98    0.40   2.4        2.27   0.03   2.3
Mo         57.7    5.8  33.85    4.06  37.9   2.1 38.34   0.38  38.7     4.3
^99^Ru     33.1         19.60    2.28  21.9       20.78   0.18  21.0
