   Z  El     A     pct             N                 logN
---- --- ----- ------- ------------- --------------------
 1.0   H   1.0 99.9981 25900000000.0   10.413299764081252
 1.0   H   2.0 0.00194      503000.0    5.701567985055927
 2.0  He   3.0  0.0166     1030000.0    6.012837224705172
 2.0  He   4.0 99.9834  2510000000.0    9.399673721481038
 3.0  Li   6.0   7.589           4.2   0.6232492903979004
 3.0  Li   7.0  92.411          51.4   1.7109631189952756
 4.0  Be   9.0   100.0         0.612 -0.21324857785443882
 5.0   B  10.0   19.82           3.7    0.568201724066995
 5.0   B  11.0   80.18          15.1   1.1789769472931695
 6.0   C  12.0  98.889     7110000.0    6.851869600729766
 6.0   C  13.0   1.111       79900.0    4.902546779313991
 7.0   N  14.0  99.634     2120000.0    6.326335860928752
 7.0   N  15.0   0.366        7780.0    3.890979596989689
 8.0   O  16.0  99.763    15700000.0    7.195899652409234
 8.0   O  17.0   0.037        5900.0   3.7708520116421442
 8.0   O  18.0     0.2       31500.0    4.498310553789601
 9.0   F  19.0   100.0         804.0    2.905256048748451
10.0  Ne  20.0 92.9431     3060000.0     6.48572142648158
10.0  Ne  21.0  0.2228        7330.0   3.8651039746411278
10.0  Ne  22.0  6.8341      225000.0    5.352182518111363
11.0  Na  23.0   100.0       57700.0    4.761175813155732
12.0  Mg  24.0  78.992      810000.0   5.9084850188786495
12.0  Mg  25.0  10.003      103000.0    5.012837224705172
12.0  Mg  26.0  11.005      113000.0     5.05307844348342
13.0  Al  27.0   100.0       84600.0   4.9273703630390235
14.0  Si  28.0   92.23      922000.0    5.964730921053629
14.0  Si  29.0   4.683       46800.0    4.670245853074124
14.0  Si  30.0   3.087       30900.0    4.489958479424835
15.0   P  31.0   100.0        8300.0   3.9190780923760737
16.0   S  32.0  95.018      400258.0    5.602340020968936
16.0   S  33.0    0.75        3160.0    3.499687082618404
16.0   S  34.0   4.215       17800.0    4.250420002308894
16.0   S  36.0   0.017          72.0   1.8573324964312685
17.0  Cl  35.0  75.771        3920.0    3.593286067020457
17.0  Cl  37.0  24.229        1250.0   3.0969100130080562
18.0  Ar  36.0  84.595       78400.0    4.894316062684439
18.0  Ar  38.0  15.381       14300.0    4.155336037465061
18.0  Ar  40.0   0.024          22.0   1.3424226808222062
19.0   K  39.0  93.132        3500.0   3.5440680443502757
19.0  K*  40.0   0.147           6.0   0.7781512503836436
19.0   K  41.0   6.721         253.0    2.403120521175818
20.0  Ca  40.0  96.941       58500.0     4.76715586608218
20.0  Ca  42.0   0.647         391.0   2.5921767573958667
20.0  Ca  43.0   0.135          82.0   1.9138138523837167
20.0  Ca  44.0   2.086        1260.0    3.100370545117563
20.0  Ca  46.0   0.004           2.0   0.3010299956639812
20.0  Ca  48.0   0.187         113.0   2.0530784434834195
21.0  Sc  45.0   100.0          34.4   1.5365584425715302
22.0  Ti  46.0   8.249         204.0   2.3096301674258988
22.0  Ti  47.0   7.437         184.0   2.2648178230095364
22.0  Ti  48.0   73.72        1820.0   3.2600713879850747
22.0  Ti  49.0   5.409         134.0   2.1271047983648077
22.0  Ti  50.0   5.185         128.0   2.1072099696478683
23.0   V  50.0  0.2497           0.7  -0.1549019599857432
23.0   V  51.0 99.7503         285.7    2.455910240382743
24.0  Cr  50.0  4.3452         569.0   2.7551122663950713
24.0  Cr  52.0 83.7895       11000.0    4.041392685158225
24.0  Cr  53.0  9.5006        1240.0    3.093421685162235
24.0  Cr  54.0  2.3647         309.0   2.4899584794248346
25.0  Mn  55.0   100.0        9220.0   3.9647309210536292
26.0  Fe  54.0   5.845       49600.0    4.695481676490197
26.0  Fe  56.0  91.754      778000.0   5.8909795969896885
26.0  Fe  57.0  2.1191       18000.0   4.2552725051033065
26.0  Fe  58.0  0.2819        2390.0   3.3783979009481375
27.0  Co  59.0   100.0        2350.0   3.3710678622717363
28.0  Ni  58.0 68.0769       33400.0    4.523746466811565
28.0  Ni  60.0 26.2231       12900.0    4.110589710299249
28.0  Ni  61.0  1.1399         559.0    2.747411807886423
28.0  Ni  62.0  3.6345        1780.0    3.250420002308894
28.0  Ni  64.0  0.9256         454.0   2.6570558528571038
29.0  Cu  63.0  69.174         374.0   2.5728716022004803
29.0  Cu  65.0  30.826         167.0   2.2227164711475833
30.0  Zn  64.0   48.63         630.0   2.7993405494535817
30.0  Zn  66.0    27.9         362.0    2.558708570533166
30.0  Zn  67.0     4.1          53.0    1.724275869600789
30.0  Zn  68.0   18.75         243.0    2.385606273598312
30.0  Zn  70.0    0.62           8.0   0.9030899869919435
31.0  Ga  69.0  60.108          22.0   1.3424226808222062
31.0  Ga  71.0  39.892          14.6   1.1643528557844371
32.0  Ge  70.0  21.234          24.3   1.3856062735983121
32.0  Ge  72.0  27.662          31.7   1.5010592622177514
32.0  Ge  73.0   7.717           8.8   0.9444826721501687
32.0  Ge  74.0  35.943          41.2   1.6148972160331345
32.0  Ge  76.0   7.444           8.5   0.9294189257142927
33.0  As  75.0   100.0           6.1    0.785329835010767
34.0  Se  74.0    0.89           0.6  -0.2218487496163564
34.0  Se  76.0    9.37          6.32    0.800717078282385
34.0  Se  77.0    7.64          5.15   0.7118072290411911
34.0  Se  78.0   23.77         16.04   1.2052043639481447
34.0  Se  80.0   49.61         33.48   1.5247854493212223
34.0  Se  82.0    8.73          5.89   0.7701152947871016
35.0  Br  79.0  50.686          5.43   0.7347998295888469
35.0  Br  81.0  49.314          5.28   0.7226339225338123
36.0  Kr  78.0   0.362           0.2  -0.6989700043360187
36.0  Kr  80.0   2.326           1.3  0.11394335230683679
36.0  Kr  82.0  11.655          6.51   0.8135809885681919
36.0  Kr  83.0  11.546          6.45   0.8095597146352678
36.0  Kr  84.0  56.903         31.78   1.5021538928713607
36.0  Kr  86.0  17.208          9.61   0.9827233876685453
37.0  Rb  85.0  70.844         5.121   0.7093547758343961
37.0 Rb*  87.0  29.156         2.108  0.32387060654050903
38.0  Sr  84.0   0.558          0.13  -0.8860566476931632
38.0  Sr  86.0  9.8678           2.3  0.36172783601759284
38.0  Sr  87.0  6.8961           1.6   0.2041199826559248
38.0  Sr  88.0 82.6781          19.2   1.2833012287035497
39.0   Y  89.0   100.0          4.63   0.6655809910179531
40.0  Zr  90.0  51.452         5.546   0.7439798652418429
40.0  Zr  91.0  11.223          1.21  0.08278537031645007
40.0  Zr  92.0  17.146         1.848   0.2667019668840879
40.0  Zr  94.0   17.38         1.873   0.2725377773752374
40.0  Zr  96.0   2.799         0.302  -0.5199930570428494
41.0  Nb  93.0   100.0          0.78 -0.10790539730951958
42.0  Mo  92.0  14.525          0.37   -0.431798275933005
42.0  Mo  94.0   9.151         0.233   -0.632644078973981
42.0  Mo  95.0  15.838         0.404   -0.393618634889395
42.0  Mo  96.0  16.672         0.425 -0.37161106994968846
42.0  Mo  97.0   9.599         0.245  -0.6108339156354675
42.0  Mo  98.0  24.391         0.622  -0.2062096153091813
42.0  Mo 100.0   9.824          0.25  -0.6020599913279624
44.0  Ru  96.0   5.542         0.099    -1.00436480540245
44.0  Ru  98.0   1.869         0.033  -1.4814860601221125
44.0  Ru  99.0  12.758         0.227  -0.6439741428068773
44.0  Ru 100.0  12.599         0.224  -0.6497519816658371
44.0  Ru 101.0   17.06         0.304  -0.5171264163912462
44.0  Ru 102.0  31.552         0.562  -0.2502636844309389
44.0  Ru 104.0  18.621         0.332  -0.4788619162959637
45.0  Rh 103.0   100.0          0.37   -0.431798275933005
46.0  Pd 102.0    1.02        0.0139   -1.856985199745905
46.0  Pd 104.0   11.14        0.1513  -0.8201610719768133
