#Z=0.000386 Y=0.230772 OS=0.20 l/Hp=1.743201 [Fe/H]=   -2.000 [Alpha/Fe]= 0.40
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M    num(x=-1)  num(x=1.35)   num(x=3)
#age(Gyr)=12.000 140 points
 0.4000000  3.5843 -1.5471  4.8763  9.611  0.838  1.348  0.883  1.721  2.531  3.085  3.297  3.477  4.293  1.1240E+01  4.1497E+01  9.1501E+01
 0.4112399  3.5930 -1.4958  4.8715  9.383  0.805  1.299  0.842  1.646  2.401  2.934  3.142  3.331  4.118  2.2488E+01  7.9096E+01  1.6859E+02
 0.4224884  3.6016 -1.4445  4.8666  9.163  0.767  1.252  0.799  1.567  2.286  2.797  3.002  3.197  3.954  2.2521E+01  7.4341E+01  1.5155E+02
 0.4337609  3.6103 -1.3930  4.8611  8.959  0.721  1.209  0.751  1.481  2.203  2.696  2.895  3.087  3.817  2.2485E+01  6.9776E+01  1.3620E+02
 0.4449737  3.6189 -1.3418  4.8555  8.765  0.669  1.170  0.704  1.395  2.132  2.613  2.805  2.989  3.696  2.2373E+01  6.5384E+01  1.2236E+02
 0.4561335  3.6275 -1.2908  4.8498  8.579  0.615  1.132  0.658  1.311  2.069  2.540  2.725  2.899  3.583  2.2290E+01  6.1457E+01  1.1040E+02
 0.4672640  3.6361 -1.2400  4.8437  8.406  0.571  1.100  0.626  1.246  2.014  2.484  2.663  2.832  3.504  2.2220E+01  5.7889E+01  9.9939E+01
 0.4783537  3.6446 -1.1894  4.8374  8.236  0.528  1.069  0.596  1.185  1.959  2.430  2.602  2.768  3.428  2.2132E+01  5.4566E+01  9.0625E+01
 0.4893957  3.6531 -1.1389  4.8309  8.068  0.482  1.036  0.567  1.127  1.901  2.372  2.538  2.700  3.349  2.2701E+01  5.3004E+01  8.4730E+01
 0.5010544  3.6616 -1.0882  4.8242  7.896  0.430  0.998  0.538  1.067  1.835  2.305  2.463  2.618  3.255  2.3874E+01  5.2749E+01  8.1115E+01
 0.5132698  3.6699 -1.0376  4.8175  7.719  0.370  0.954  0.506  1.005  1.759  2.224  2.376  2.521  3.143  2.4645E+01  5.1476E+01  7.6096E+01
 0.5256990  3.6782 -0.9868  4.8102  7.552  0.298  0.909  0.483  0.961  1.686  2.144  2.287  2.423  3.029  2.4809E+01  4.9001E+01  6.9647E+01
 0.5380793  3.6864 -0.9362  4.8026  7.390  0.223  0.863  0.462  0.922  1.614  2.065  2.200  2.327  2.917  2.4437E+01  4.5710E+01  6.2533E+01
 0.5501365  3.6946 -0.8860  4.7946  7.242  0.138  0.816  0.448  0.899  1.554  1.996  2.124  2.244  2.819  2.3992E+01  4.2589E+01  5.6162E+01
 0.5620709  3.7027 -0.8360  4.7862  7.098  0.058  0.770  0.435  0.878  1.498  1.933  2.054  2.167  2.729  2.3723E+01  4.0041E+01  5.0964E+01
 0.5738590  3.7106 -0.7857  4.7768  6.965 -0.011  0.725  0.425  0.861  1.456  1.890  2.003  2.110  2.664  2.3484E+01  3.7749E+01  4.6427E+01
