  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M    num(x=-1)  num(x=1.35)   num(x=3)
 0.4000000  3.6019 -1.5025  4.9022  9.210  0.618  1.179  0.748  1.490  2.179  2.662  2.865  3.061  3.805  1.1580E+01  4.2731E+01  9.4188E+01
 0.4115796  3.6105 -1.4513  4.8976  9.037  0.589  1.160  0.712  1.425  2.127  2.594  2.795  2.988  3.709  2.3137E+01  8.1223E+01  1.7290E+02
 0.4231367  3.6191 -1.4002  4.8929  8.867  0.557  1.140  0.677  1.361  2.080  2.533  2.731  2.922  3.622  2.3070E+01  7.5887E+01  1.5432E+02
 0.4346495  3.6277 -1.3491  4.8879  8.703  0.520  1.120  0.645  1.299  2.041  2.486  2.681  2.868  3.553  2.2980E+01  7.0970E+01  1.3807E+02
 0.4461170  3.6362 -1.2982  4.8824  8.538  0.477  1.093  0.616  1.240  1.997  2.436  2.627  2.812  3.484  2.2889E+01  6.6491E+01  1.2391E+02
 0.4575385  3.6448 -1.2473  4.8767  8.371  0.430  1.064  0.588  1.183  1.948  2.384  2.570  2.754  3.414  2.2794E+01  6.2394E+01  1.1152E+02
 0.4689107  3.6533 -1.1965  4.8705  8.202  0.380  1.027  0.561  1.126  1.889  2.323  2.503  2.684  3.333  2.2681E+01  5.8605E+01  1.0059E+02
 0.4802196  3.6617 -1.1460  4.8642  8.033  0.328  0.987  0.534  1.069  1.825  2.259  2.432  2.607  3.245  2.2502E+01  5.4979E+01  9.0732E+01
 0.4914129  3.6702 -1.0959  4.8579  7.864  0.268  0.941  0.506  1.012  1.752  2.186  2.350  2.513  3.139  2.3774E+01  5.4927E+01  8.7156E+01
 0.5039937  3.6784 -1.0437  4.8496  7.696  0.201  0.894  0.482  0.967  1.681  2.112  2.267  2.419  3.031  2.6015E+01  5.6676E+01  8.6302E+01
 0.5174277  3.6865 -0.9905  4.8404  7.529  0.129  0.845  0.462  0.930  1.611  2.038  2.183  2.326  2.923  2.7214E+01  5.5768E+01  8.1347E+01
 0.5312073  3.6945 -0.9364  4.8296  7.375  0.057  0.798  0.449  0.906  1.554  1.978  2.115  2.248  2.831  2.7464E+01  5.2936E+01  7.3964E+01
 0.5448915  3.7024 -0.8825  4.8183  7.225 -0.013  0.751  0.437  0.884  1.502  1.924  2.052  2.176  2.747  2.7218E+01  4.9421E+01  6.6215E+01
 0.5584256  3.7102 -0.8279  4.8055  7.084 -0.076  0.705  0.427  0.868  1.463  1.887  2.007  2.123  2.686  2.6815E+01  4.5964E+01  5.9144E+01
 0.5717062  3.7179 -0.7736  4.7920  6.943 -0.130  0.663  0.417  0.852  1.423  1.846  1.958  2.066  2.620  2.6294E+01  4.2649E+01  5.2790E+01
 0.5847196  3.7254 -0.7194  4.7780  6.802 -0.174  0.625  0.408  0.834  1.383  1.802  1.907  2.008  2.548  2.6001E+01  3.9991E+01  4.7685E+01
 0.5977069  3.7329 -0.6644  4.7622  6.657 -0.210  0.591  0.397  0.815  1.341  1.749  1.847  1.943  2.465  2.8300E+01  4.1242E+01  4.7352E+01
 0.6130195  3.7397 -0.6033  4.7393  6.495 -0.238  0.563  0.386  0.795  1.299  1.695  1.787  1.877  2.378  3.1464E+01  4.3273E+01  4.7704E+01
 0.6291711  3.7460 -0.5391  4.7120  6.326 -0.266  0.537  0.373  0.773  1.258  1.642  1.726  1.811  2.291  3.1503E+01  4.0821E+01  4.3157E+01
 0.6445230  3.7524 -0.4757  4.6843  6.159 -0.290  0.513  0.360  0.747  1.218  1.589  1.665  1.744  2.202  3.0181E+01  3.6943E+01  3.7526E+01
 0.6593524  3.7585 -0.4119  4.6549  5.992 -0.305  0.492  0.346  0.721  1.181  1.543  1.611  1.686  2.124  2.9007E+01  3.3661E+01  3.2933E+01
 0.6735303  3.7645 -0.3481  4.6243  5.826 -0.311  0.476  0.334  0.697  1.152  1.506  1.571  1.640  2.064  2.7846E+01  3.0732E+01  2.9027E+01
