#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-07-07T15:00:41 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ51d982813182 
#INFO -out.max=unlimited 
#INFO queryParameters=6 
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-source=J/A+A/439/129/sample
#

#RESOURCE=yCat_34390129
#Name: J/A+A/439/129
#Title: HERES II. Spectroscopic analysis (Barklem+, 2005)
#Table J_A_A_439_129_sample:
#Name: J/A+A/439/129/sample
#Title: Sample: position, velocity, and derived stellar atmosphere parameters {\em(tables 1 and 2a of paper)}
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A10)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A9)    Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    Name               (a13)   Star name (1) [ucd=meta.id;meta.main]
#    RAJ2000 ("h:m:s")  (A10)   Right ascension (J2000) [ucd=pos.eq.ra;meta.main]
#    DEJ2000 ("d:m:s")  (A9)    Declination (J2000) [ucd=pos.eq.dec;meta.main]
#    RV (km/s)          (F6.1)  Barycentric radial velocity (2) [ucd=phys.veloc;pos.heliocentric]
#    S/N                (I3)    Average signal-to-noise ratio per pixel for the whole observed spectrum [ucd=stat.mean;instr.pixel]
#    Teff (K)           (I4)    Effective temperature [ucd=phys.temperature.effective]
#    logg ([cm/s+2])    (F5.2)  Surfave gravity [ucd=phys.gravity]
#    E_logg ([cm/s+2])  (F5.2)  Absolute rms error estimate on logg [ucd=stat.error;stat.max]
#    [Fe/H] ([Sun])     (F5.2)  Abundance [Fe/H] [ucd=phys.abund.Fe]
#    E_[Fe/H] ([Sun])   (F5.2)  Absolute rms error estimate on [Fe/H] [ucd=stat.error;stat.max]
#    Vt (km/s)          (F5.2)  Microturbulence velocity [ucd=phys.veloc.microTurb]
#    E_Vt (km/s)        (F5.2)  Absolute rms error estimate on Vt [ucd=stat.error;stat.max]
#---------- --------- ------------- ---------- --------- ------ --- ---- ----- ----- ----- ----- ----- -----
#                                                                              E_          E                
#                                                                        logg  logg  [Fe/  _[Fe/       E    
#_RAJ2000   _DEJ2000                RAJ2000    DEJ2000   RV         Teff ([cm/ ([cm/ H] ([ H] ([ Vt (  _Vt (
#("h:m:s")  ("d:m:s") Name          ("h:m:s")  ("d:m:s") (km/s) S/N (K)  s+2]) s+2]) Sun]) Sun]) km/s) km/s)
#---------- --------- ------------- ---------- --------- ------ --- ---- ----- ----- ----- ----- ----- -----
_RAJ2000, _DEJ2000, Name, RAJ2000, DEJ2000, RV, S/N, Teff, logg, E_logg, [Fe/H], E_[Fe/H], Vt, E_Vt
02 17 26.6, -09 00 45, CS 22175-007 , 02 17 26.6, -09 00 45,  -18.3,  31, 5108,  2.46,  0.36, -2.81,  0.18,  1.67,  0.24
04 19 45.5, -36 51 35, CS 22186-023 , 04 19 45.5, -36 51 35,   51.9,  55, 5066,  2.19,  0.34, -2.72,  0.18,  1.58,  0.21
04 24 32.8, -37 09 02, CS 22186-025 , 04 24 32.8, -37 09 02, -122.6,  32, 4985,  1.70,  0.36, -2.87,  0.19,  2.14,  0.23
22 20 25.8, -10 23 20, CS 22886-042 , 22 20 25.8, -10 23 20, -220.6,  39, 4881,  1.85,  0.35, -2.68,  0.18,  1.84,  0.22
22 17 01.6, -16 39 27, CS 22892-052 , 22 17 01.6, -16 39 27,   14.5,  46, 4884,  1.81,  0.36, -2.95,  0.19,  1.67,  0.22
23 31 13.5, -66 29 57, CS 22945-028 , 23 31 13.5, -66 29 57,  388.9,  31, 5126,  2.55,  0.36, -2.66,  0.18,  1.53,  0.24
23 55 49.0, -05 22 52, CS 22957-013 , 23 55 49.0, -05 22 52, -213.5,  35, 4904,  1.96,  0.35, -2.64,  0.19,  1.79,  0.22
02 15 42.7, -53 59 56, CS 22958-083 , 02 15 42.7, -53 59 56,  175.6,  32, 5101,  2.40,  0.36, -2.79,  0.18,  1.50,  0.23
22 08 25.3, -44 53 56, CS 22960-010 , 22 08 25.3, -44 53 56,   49.2,  35, 5737,  4.85,  0.35, -2.65,  0.17,  1.53,  0.27
22 31 02.1, -32 38 36, CS 29491-069 , 22 31 02.1, -32 38 36, -375.5,  57, 5103,  2.45,  0.34, -2.81,  0.18,  1.54,  0.22
22 25 01.1, -32 14 41, CS 29491-109 , 22 25 01.1, -32 14 41,  160.1,  50, 4736,  1.50,  0.34, -2.90,  0.19,  1.82,  0.22
00 28 06.9, -26 03 04, CS 29497-004 , 00 28 06.9, -26 03 04,  105.1,  39, 5013,  2.23,  0.34, -2.81,  0.18,  1.62,  0.23
02 21 46.5, -24 01 58, CS 29510-058 , 02 21 46.5, -24 01 58,  153.1,  38, 5108,  2.32,  0.34, -2.61,  0.18,  1.62,  0.22
20 45 54.1, -44 50 29, CS 30308-035 , 20 45 54.1, -44 50 29,  -51.8,  32, 4806,  1.78,  0.37, -3.35,  0.18,  1.64,  0.24
23 37 38.8, -26 21 53, CS 30315-001 , 23 37 38.8, -26 21 53,  110.3,  37, 4565,  1.14,  0.35, -2.98,  0.17,  1.99,  0.22
23 34 26.6, -26 42 14, CS 30315-029 , 23 34 26.6, -26 42 14, -169.2,  38, 4541,  1.07,  0.35, -3.33,  0.18,  2.06,  0.23
22 01 21.5, -30 57 57, CS 30337-097 , 22 01 21.5, -30 57 57, -108.7,  44, 4865,  1.81,  0.34, -2.73,  0.18,  1.88,  0.22
00 23 12.9, -37 01 26, CS 30339-041 , 00 23 12.9, -37 01 26,  -19.3,  37, 5478,  2.10,  0.36, -2.20,  0.18,  2.23,  0.23
21 45 17.5, -37 22 18, CS 30343-063 , 21 45 17.5, -37 22 18,  -59.4,  40, 4412,  0.83,  0.35, -2.95,  0.18,  2.26,  0.21
00 08 07.8, -15 54 03, CS 31060-047 , 00 08 07.8, -15 54 03,  106.1,  30, 4749,  1.55,  0.36, -2.72,  0.18,  2.00,  0.23
00 35 03.0, -15 54 29, CS 31062-041 , 00 35 03.0, -15 54 29, -173.0,  37, 4915,  1.83,  0.36, -2.67,  0.19,  1.84,  0.23
05 08 53.5, -59 18 21, CS 31072-118 , 05 08 53.5, -59 18 21,  145.8,  53, 4606,  1.25,  0.34, -3.06,  0.17,  2.02,  0.22
01 29 31.1, -16 00 45, CS 31082-001 , 01 29 31.1, -16 00 45,  139.4,  90, 4922,  1.90,  0.33, -2.78,  0.19,  1.88,  0.21
00 05 15.3, -27 16 18, HD 20        , 00 05 15.3, -27 16 18,  -57.5, 113, 5445,  2.39,  0.32, -1.58,  0.20,  2.30,  0.21
23 29 28.8, +30 25 57, HD 221170    , 23 29 28.8, +30 25 57, -120.7,  51, 4648,  1.57,  0.34, -2.14,  0.20,  2.22,  0.21
00 08 06.8, +00 14 09, HE 0005-0002 , 00 08 06.8, +00 14 09,  -65.4,  67, 4726,  1.58,  0.35, -3.09,  0.17,  1.82,  0.21
00 10 56.0, -38 26 10, HE 0008-3842 , 00 10 56.0, -38 26 10,  128.9,  67, 4327,  0.65,  0.33, -3.35,  0.18,  2.39,  0.22
00 19 48.3, -48 21 24, HE 0017-4838 , 00 19 48.3, -48 21 24,   26.8,  42, 5149,  2.23,  0.39, -3.23,  0.18,  1.81,  0.24
00 20 52.4, -13 32 29, HE 0018-1349 , 00 20 52.4, -13 32 29, -161.7,  35, 5719,  4.62,  0.36, -2.26,  0.18,  1.73,  0.30
00 25 50.3, -48 08 27, HE 0023-4825 , 00 25 50.3, -48 08 27,  -21.5,  42, 5816,  3.63,  0.36, -2.06,  0.18,  1.45,  0.24
00 32 07.7, -18 22 36, HE 0029-1839 , 00 32 07.7, -18 22 36,  -97.8,  70, 5010,  2.19,  0.34, -2.50,  0.18,  1.67,  0.22
00 39 51.7, -26 41 31, HE 0037-2657 , 00 39 51.7, -26 41 31, -279.0,  69, 4982,  2.21,  0.36, -3.22,  0.18,  1.80,  0.22
00 41 43.3, -41 37 58, HE 0039-4154 , 00 41 43.3, -41 37 58,  128.9,  70, 4735,  1.55,  0.35, -3.38,  0.17,  2.01,  0.22
00 45 55.8, -28 29 16, HE 0043-2845 , 00 45 55.8, -28 29 16,   16.4,  66, 5517,  4.42,  0.35, -2.91,  0.18,  1.17,  0.26
00 46 35.8, -24 43 02, HE 0044-2459 , 00 46 35.8, -24 43 02, -160.0,  62, 5242,  2.92,  0.36, -3.28,  0.18,  1.55,  0.24
00 46 29.4, -40 07 23, HE 0044-4023 , 00 46 29.4, -40 07 23,  346.2,  39, 5694,  3.26,  0.36, -2.56,  0.18,  1.49,  0.24
00 47 40.5, -24 14 02, HE 0045-2430 , 00 47 40.5, -24 14 02,  144.5,  59, 5377,  3.25,  0.34, -1.77,  0.18,  1.67,  0.22
00 52 06.8, -56 44 37, HE 0049-5700 , 00 52 06.8, -56 44 37,   59.8,  42, 5952,  4.08,  0.36, -2.41,  0.18,  1.63,  0.25
00 53 51.5, -22 47 55, HE 0051-2304 , 00 53 51.5, -22 47 55, -135.6,  47, 4537,  1.22,  0.35, -2.41,  0.19,  1.97,  0.23
00 57 20.7, -06 41 00, HE 0054-0657 , 00 57 20.7, -06 41 00,   51.3,  32, 5908,  4.40,  0.36, -2.00,  0.18,  1.56,  0.28
00 59 59.2, -45 24 54, HE 0057-4541 , 00 59 59.2, -45 24 54,   13.4,  75, 5083,  2.55,  0.34, -2.32,  0.18,  1.67,  0.22
01 06 56.0, -39 51 52, HE 0104-4007 , 01 06 56.0, -39 51 52,  200.8,  48, 5154,  2.64,  0.36, -3.30,  0.18,  1.72,  0.24
01 06 51.8, -52 44 11, HE 0104-5300 , 01 06 51.8, -52 44 11,  185.8,  52, 4732,  1.43,  0.37, -3.42,  0.19,  1.99,  0.23
01 07 38.0, -61 25 17, HE 0105-6141 , 01 07 38.0, -61 25 17,    3.8,  66, 5218,  2.83,  0.34, -2.55,  0.18,  1.66,  0.23
01 11 47.0, -07 26 32, HE 0109-0742 , 01 11 47.0, -07 26 32,  -24.1,  44, 5315,  1.85,  0.36, -2.53,  0.18,  2.19,  0.23
01 11 38.4, -36 55 17, HE 0109-3711 , 01 11 38.4, -36 55 17,   -1.0,  17, 6156,  3.91,  0.40, -1.91,  0.18,  1.60,  0.28
01 13 49.1, -14 38 23, HE 0111-1454 , 01 13 49.1, -14 38 23,  -85.2,  82, 4632,  1.05,  0.34, -2.99,  0.18,  2.36,  0.21
01 23 37.2, -28 10 27, HE 0121-2826 , 01 23 37.2, -28 10 27,   -2.0,  46, 4955,  1.99,  0.36, -2.97,  0.18,  1.68,  0.22
